age,age_group,job,marital,education,balance,balance_group,housing,loan,default,contact,month,day,duration,campaign,campaign_group,pdays,previous,poutcome,deposit
59,50-59,admin.,married,secondary,2343,Medium Balance,yes,no,no,unknown,may,5,1042,1,1 Contact,-1,0,unknown,Yes
56,50-59,admin.,married,secondary,45,Low Balance,no,no,no,unknown,may,5,1467,1,1 Contact,-1,0,unknown,Yes
41,40-49,technician,married,secondary,1270,Medium Balance,yes,no,no,unknown,may,5,1389,1,1 Contact,-1,0,unknown,Yes
55,50-59,services,married,secondary,2476,Medium Balance,yes,no,no,unknown,may,5,579,1,1 Contact,-1,0,unknown,Yes
54,50-59,admin.,married,tertiary,184,Low Balance,no,no,no,unknown,may,5,673,2,2-3 Contacts,-1,0,unknown,Yes
42,40-49,management,single,tertiary,0,Zero Balance,yes,yes,no,unknown,may,5,562,2,2-3 Contacts,-1,0,unknown,Yes
56,50-59,management,married,tertiary,830,Low Balance,yes,yes,no,unknown,may,6,1201,1,1 Contact,-1,0,unknown,Yes
60,60+,retired,divorced,secondary,545,Low Balance,yes,no,no,unknown,may,6,1030,1,1 Contact,-1,0,unknown,Yes
37,30-39,technician,married,secondary,1,Low Balance,yes,no,no,unknown,may,6,608,1,1 Contact,-1,0,unknown,Yes
28,18-29,services,single,secondary,5090,High Balance,yes,no,no,unknown,may,6,1297,3,2-3 Contacts,-1,0,unknown,Yes
38,30-39,admin.,single,secondary,100,Low Balance,yes,no,no,unknown,may,7,786,1,1 Contact,-1,0,unknown,Yes
30,30-39,blue-collar,married,secondary,309,Low Balance,yes,no,no,unknown,may,7,1574,2,2-3 Contacts,-1,0,unknown,Yes
29,18-29,management,married,tertiary,199,Low Balance,yes,yes,no,unknown,may,7,1689,4,4-5 Contacts,-1,0,unknown,Yes
46,40-49,blue-collar,single,tertiary,460,Low Balance,yes,no,no,unknown,may,7,1102,2,2-3 Contacts,-1,0,unknown,Yes
31,30-39,technician,single,tertiary,703,Low Balance,yes,no,no,unknown,may,8,943,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,management,divorced,tertiary,3837,Medium Balance,yes,no,no,unknown,may,8,1084,1,1 Contact,-1,0,unknown,Yes
32,30-39,blue-collar,single,primary,611,Low Balance,yes,no,no,unknown,may,8,541,3,2-3 Contacts,-1,0,unknown,Yes
49,40-49,services,married,secondary,-8,Negative Balance,yes,no,no,unknown,may,8,1119,1,1 Contact,-1,0,unknown,Yes
41,40-49,admin.,married,secondary,55,Low Balance,yes,no,no,unknown,may,8,1120,2,2-3 Contacts,-1,0,unknown,Yes
49,40-49,admin.,divorced,secondary,168,Low Balance,yes,yes,no,unknown,may,8,513,1,1 Contact,-1,0,unknown,Yes
28,18-29,admin.,divorced,secondary,785,Low Balance,yes,no,no,unknown,may,8,442,2,2-3 Contacts,-1,0,unknown,Yes
43,40-49,management,single,tertiary,2067,Medium Balance,yes,no,no,unknown,may,8,756,1,1 Contact,-1,0,unknown,Yes
43,40-49,management,divorced,tertiary,388,Low Balance,yes,no,no,unknown,may,8,2087,2,2-3 Contacts,-1,0,unknown,Yes
43,40-49,blue-collar,married,primary,-192,Negative Balance,yes,no,no,unknown,may,8,1120,2,2-3 Contacts,-1,0,unknown,Yes
37,30-39,unemployed,single,secondary,381,Low Balance,yes,no,no,unknown,may,8,985,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,single,secondary,40,Low Balance,yes,no,no,unknown,may,9,617,4,4-5 Contacts,-1,0,unknown,Yes
31,30-39,technician,single,tertiary,22,Low Balance,yes,no,no,unknown,may,9,483,3,2-3 Contacts,-1,0,unknown,Yes
43,40-49,blue-collar,single,secondary,3,Low Balance,yes,no,no,unknown,may,9,929,3,2-3 Contacts,-1,0,unknown,Yes
31,30-39,admin.,married,secondary,307,Low Balance,yes,no,no,unknown,may,9,538,1,1 Contact,-1,0,unknown,Yes
28,18-29,blue-collar,single,secondary,759,Low Balance,yes,no,no,unknown,may,9,710,1,1 Contact,-1,0,unknown,Yes
32,30-39,blue-collar,married,secondary,-1,Negative Balance,yes,no,yes,unknown,may,9,653,1,1 Contact,-1,0,unknown,Yes
60,60+,technician,married,primary,65,Low Balance,yes,no,no,unknown,may,9,1028,2,2-3 Contacts,-1,0,unknown,Yes
26,18-29,blue-collar,single,secondary,82,Low Balance,yes,no,no,unknown,may,9,654,1,1 Contact,-1,0,unknown,Yes
40,40-49,blue-collar,married,secondary,10,Low Balance,yes,no,no,unknown,may,9,1692,2,2-3 Contacts,-1,0,unknown,Yes
33,30-39,blue-collar,divorced,primary,390,Low Balance,yes,no,no,unknown,may,9,665,2,2-3 Contacts,-1,0,unknown,Yes
32,30-39,management,single,tertiary,311,Low Balance,no,no,no,unknown,may,12,757,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,primary,414,Low Balance,no,no,no,unknown,may,13,504,4,4-5 Contacts,-1,0,unknown,Yes
33,30-39,management,divorced,secondary,5,Low Balance,yes,no,no,unknown,may,13,1346,1,1 Contact,-1,0,unknown,Yes
38,30-39,management,married,tertiary,119,Low Balance,yes,no,no,unknown,may,13,568,4,4-5 Contacts,-1,0,unknown,Yes
23,18-29,entrepreneur,single,primary,4,Low Balance,yes,no,no,unknown,may,13,395,2,2-3 Contacts,-1,0,unknown,Yes
60,60+,blue-collar,married,primary,1262,Medium Balance,yes,yes,no,unknown,may,13,1015,1,1 Contact,-1,0,unknown,Yes
48,40-49,management,married,tertiary,1949,Medium Balance,yes,no,no,unknown,may,13,683,2,2-3 Contacts,-1,0,unknown,Yes
45,40-49,entrepreneur,divorced,tertiary,-395,Negative Balance,yes,no,no,unknown,may,13,470,1,1 Contact,-1,0,unknown,Yes
36,30-39,blue-collar,married,secondary,1165,Medium Balance,yes,no,no,unknown,may,13,1001,4,4-5 Contacts,-1,0,unknown,Yes
52,50-59,management,married,unknown,2240,Medium Balance,yes,no,no,unknown,may,13,845,1,1 Contact,-1,0,unknown,Yes
35,30-39,blue-collar,divorced,primary,300,Low Balance,yes,no,no,unknown,may,13,945,2,2-3 Contacts,-1,0,unknown,Yes
43,40-49,technician,married,secondary,3285,Medium Balance,yes,no,no,unknown,may,13,1721,2,2-3 Contacts,-1,0,unknown,Yes
52,50-59,housemaid,married,secondary,3923,Medium Balance,yes,no,no,unknown,may,14,942,3,2-3 Contacts,-1,0,unknown,Yes
53,50-59,technician,divorced,primary,1443,Medium Balance,yes,no,no,unknown,may,14,476,1,1 Contact,-1,0,unknown,Yes
